#Date: 2023-12-19 05:54:57
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-12-19 05:55:44 ::1 GET /img/source-code/d20c340712aea48adc656782fb3492a0/BaseIntroPageSchema/AcademyBanner - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 126
2023-12-19 05:55:44 ::1 GET /img/source-code/6b55d73e8805d47ab6c202ae2691010a/BaseIntroPageSchema/SdkIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 126
2023-12-19 05:55:44 ::1 GET /img/source-code/51369be2d145e1cc23b93799e6af99ad/BaseIntroPageSchema/CommunityIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 127
2023-12-19 05:55:44 ::1 POST /rest/CtiRightsService/GetUserHasOperationLicense - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 30
2023-12-19 05:55:45 ::1 POST /rest/MarketPlaceUrlService/GetUrlMarketPlace - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 1113
2023-12-19 05:55:45 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 106
2023-12-19 05:55:45 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 219
2023-12-19 05:55:45 ::1 POST /DataService/json/SyncReply/GetTelephonyConfig - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 9
2023-12-19 05:55:45 ::1 GET /img/source-code/21f64dfcc3af012a4110db8718cded58/SystemDesigner/SystemViewIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 719
2023-12-19 05:55:45 ::1 GET /img/source-code/61e156ac4946782e8423f2c1577ce91e/SystemDesigner/InstallExtensionsIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 719
2023-12-19 05:55:45 ::1 GET /img/source-code/39602d04701bb75385eefbd2c16736fa/SystemDesigner/SystemSettingsIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 719
2023-12-19 05:55:45 ::1 GET /img/source-code/c59a7336c243c80173588b3bf36eabdb/SystemDesigner/ConfigurationIcon - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 687
2023-12-19 05:55:55 ::1 GET /rest/WorkplaceNavigationPanelService/GetGroups - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 12711
2023-12-19 05:55:55 ::1 GET /img/entity/hash/SysImage/Data/eb85b762-780a-4642-9170-25e691734158 - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 9
